sku,name,price,collection,description,badge,image,front_model_image,back_image,back_model_image,sizes,color,edition_size,published,is_preorder,branding_spec,render_output_slug,render_source_override,render_back_source_override,render_is_tech_flat,render_is_accessory,garment_type_lock,dossier_slug,engine_override
br-001,BLACK Rose Crewneck,35,black-rose,"Gothic luxury blooms in twilight. Embroidered with defiant elegance, a dark romance woven in every thread.",,assets/images/products/br-001-crewneck.png,assets/images/products/black-rose-crewneck-front-model.webp,,assets/images/products/black-rose-crewneck-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,"Embossed on front chest, approximately 10 inches wide.",black-rose-crewneck,br-001-crewneck.png,,0,0,crewneck,black-rose-crewneck,gemini-pro
br-002,BLACK Rose Joggers,50,black-rose,Twilight comfort meets gothic romance. Embroidered black roses bloom on soft fabric.,,assets/images/products/br-002-joggers.png,assets/images/products/black-rose-joggers-front-model.webp,assets/images/products/black-rose-joggers-back-model.webp,assets/images/products/black-rose-joggers-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,Silicone patch logo on left thigh area.,black-rose-joggers,br-002-joggers.png,,0,0,joggers,black-rose-joggers,
br-003,BLACK is Beautiful Jersey Series: 0. Baseball Classic (Black),100,black-rose,"The foundation of the series. A bold statement in luxury athletic wear — Black is beautiful. Available in Black, Oakland (gold lettering accent on the A), Giants (black/orange), and White colorways.",Pre-Order,assets/images/products/br-003-baseball-classic.jpeg,assets/images/products/black-is-beautiful-jersey-front-model.webp,assets/images/products/black-is-beautiful-jersey-back-model.webp,assets/images/products/black-is-beautiful-jersey-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,1,"FRONT: 'BLACK IS BEAUTIFUL' arched text, custom Baseball Patch. BACK: embroidered rose logo centered. Colorways: Black (solid), Oakland (the 'A' of BLACK is black lettering, rest is gold), Giants (black/orange), White.",black-is-beautiful-jersey,br-003-baseball-classic.jpeg,,0,0,jersey,black-is-beautiful-jersey-series-0-baseball-classic,
br-004,BLACK Rose Hoodie,40,black-rose,Gothic luxury in twilight shadows. Intricate embroidery captures the bloom of darkness.,,assets/images/products/br-004-black-rose-hoodie.jpeg,assets/images/products/black-rose-hoodie-front-model.webp,assets/images/products/black-rose-hoodie-back-model.webp,assets/images/products/black-rose-hoodie-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,Embroidered rose logo on chest.,black-rose-hoodie,br-004-black-rose-hoodie.jpeg,,0,0,hoodie,black-rose-hoodie,
br-005,BLACK Rose Hoodie — Signature Edition,65,black-rose,The definitive Black Rose hoodie. Signature edition with premium detailing and numbered tag.,,assets/images/products/br-005-signature-hoodie.jpeg,assets/images/products/black-rose-hoodie-signature-front-model.webp,assets/images/products/black-rose-hoodie-signature-edition-back-model.webp,assets/images/products/black-rose-hoodie-signature-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,Silicone cut-out logo on right chest. Embroidered logo on the side of the body of the hoodie (not on the arm).,black-rose-hoodie-signature,br-005-signature-hoodie.jpeg,,0,0,hoodie,black-rose-hoodie-signature-edition,
br-006,The Black Rose Bomber Sherpa,95,black-rose,"Lustrous black satin with plush Sherpa lining, crowned by an exquisite embroidered rose. Satin bomber silhouette, hooded.",Pre-Order,assets/images/products/br-006-sherpa-jacket.jpeg,assets/images/products/black-rose-sherpa-jacket-front-model.webp,assets/images/products/black-rose-sherpa-jacket-back-model.webp,assets/images/products/black-rose-sherpa-jacket-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,1,Embroidered rose logo on left chest. Big embroidered rose logo on back. Garment is a satin bomber jacket lined with black sherpa and hooded.,black-rose-sherpa-jacket,br-006-sherpa-jacket.jpeg,,0,0,jacket,black-rose-sherpa-jacket,
br-007,BLACK Rose x Love Hurts Basketball Shorts,65,black-rose,Two worlds collide. A cross-collection collaboration merging Black Rose darkness with Love Hurts fire.,,assets/images/products/br-007.jpg,assets/images/products/black-rose-love-hurts-basketball-shorts-front-model.webp,assets/images/products/br-007-real-back.jpg,assets/images/products/black-rose-love-hurts-basketball-shorts-back-model.webp,S|M|L|XL|2XL|3XL,Black,250,1,0,Tackle twill cut-out letters stitched on the front spelling 'Oakland'. Sublimated rose logo throughout the shorts. Big sublimated 'Love Hurts' logo on the left side. Additional 'Love Hurts' and rose logos stitched on the mesh sides of the shorts.,black-rose-love-hurts-bb-shorts,br-007.jpg,br-007-real-back.jpg,0,0,shorts,black-rose-x-love-hurts-basketball-shorts,
br-008,BLACK is Beautiful Jersey Series: 1. SF Inspired (Football),115,black-rose,"Red #80 football jersey. SF 49ers inspired, alternating rose fill on numbers. Exclusive edition — 80 pieces.",Pre-Order,assets/images/products/br-008-sf-inspired.jpg,assets/images/products/jersey-sf-inspired-football-front-model.webp,assets/images/products/black-is-beautiful-football-jersey-red-back-model.webp,assets/images/products/jersey-sf-inspired-football-back-model.webp,S|M|L|XL|2XL|3XL,Red,80,1,1,"Jersey-style stitched numbers (80) on front and back. FRONT: the '8' contains the rose logo, the '0' is plain white. Custom Football Patch in bottom-left corner. BACK: reversed — the '8' is plain white, the '0' contains the rose.",jersey-sf-inspired-football,br-008-sf-inspired.jpg,,0,0,jersey,black-is-beautiful-jersey-series-1-sf-inspired-football,
br-009,BLACK is Beautiful Jersey Series: 2. Last Oakland (Football),115,black-rose,"White #32 football jersey. White numbers with black border, alternating rose fill. The Last Oakland edition — 80 pieces.",Pre-Order,assets/images/products/br-009-last-oakland-football.jpg,assets/images/products/jersey-last-oakland-football-front-model.webp,assets/images/products/black-is-beautiful-football-jersey-white-back-model.webp,assets/images/products/jersey-last-oakland-football-back-model.webp,S|M|L|XL|2XL|3XL,White,80,1,1,"Jersey-style stitched numbers (32) on front and back. FRONT: the '3' contains the rose logo, the '2' is plain white. Custom Football Patch in bottom-left corner. BACK: reversed — the '3' is plain white, the '2' contains the rose.",jersey-last-oakland-football,br-009-last-oakland-football.jpg,,0,0,jersey,black-is-beautiful-jersey-series-2-last-oakland-football,
br-010,BLACK is Beautiful Jersey Series: 3. The Bay (Basketball),100,black-rose,"Basketball tank with ""THE BAY"" gold text. Rose circle graphic, grey/silver rose fade. Bay Area edition — 80 pieces.",Pre-Order,assets/images/products/br-010-the-bay-basketball.jpeg,assets/images/products/jersey-the-bay-basketball-front-model.webp,assets/images/products/black-is-beautiful-basketball-jersey-back-model.webp,assets/images/products/jersey-the-bay-basketball-back-model.webp,S|M|L|XL|2XL|3XL,White/Gold,80,1,1,Use the existing successful render as reference — vision pipeline produced a good first render of this SKU. Preserve the established composition.,jersey-the-bay-basketball,br-010-the-bay-basketball.jpeg,,1,0,jersey,black-is-beautiful-jersey-series-3-the-bay-basketball,
br-011,BLACK is Beautiful Jersey Series: 4. The Rose (Hockey),115,black-rose,"Hooded hockey jersey in black and teal. San Jose Sharks inspired, rose crest on front. Exclusive edition — 80 pieces.",Pre-Order,assets/images/products/br-011-the-rose-hockey.png,assets/images/products/jersey-the-rose-hockey-front-model.webp,assets/images/products/black-is-beautiful-hockey-jersey-back-model.webp,assets/images/products/jersey-the-rose-hockey-back-model.webp,S|M|L|XL|2XL|3XL,Black/Teal,80,1,1,Use the existing successful render as reference — vision pipeline produced a good first render of this SKU. Preserve the established composition.,jersey-the-rose-hockey,br-011-the-rose-hockey.png,,0,0,hoodie,black-is-beautiful-jersey-series-4-the-rose-hockey,gemini-pro
